index,item_id,movie_name
1,597,Pretty Woman
2,1204,Lawrence of Arabia
3,1088,Dirty Dancing
4,3507,"Odd Couple, The"
5,356,Forrest Gump
6,1961,Rain Man
7,2761,"Iron Giant, The"
8,2762,"Sixth Sense, The"
9,590,Dances with Wolves
10,2858,American Beauty
11,1610,"Hunt for Red October, The"
12,3334,Key Largo
13,2490,Payback
14,1028,Mary Poppins
15,1214,Alien
16,2657,"Rocky Horror Picture Show, The"
17,1101,Top Gun
18,47,Seven (Se7en)
19,2700,"South Park: Bigger, Longer and Uncut"
20,3114,Toy Story 2
21,1097,E.T. the Extra-Terrestrial
22,1073,Willy Wonka and the Chocolate Factory
23,2858,American Beauty
24,1617,L.A. Confidential
25,1214,Alien
26,2762,"Sixth Sense, The"
27,1,Toy Story
28,2858,American Beauty
29,260,Star Wars: Episode IV - A New Hope
30,3578,Gladiator
31,356,Forrest Gump
32,32,Twelve Monkeys
33,3578,Gladiator
34,2161,"NeverEnding Story, The"
35,920,Gone with the Wind
36,1610,"Hunt for Red October, The"
37,1307,When Harry Met Sally...
38,1036,Die Hard
39,2324,Life Is Beautiful (La Vita ̬ bella)
40,1394,Raising Arizona
41,318,"Shawshank Redemption, The"
42,2959,Fight Club
43,1276,Cool Hand Luke
44,2028,Saving Private Ryan
45,780,Independence Day (ID4)
46,3114,Toy Story 2
47,1019,"20,000 Leagues Under the Sea"
48,2321,Pleasantville
49,2762,"Sixth Sense, The"
50,349,Clear and Present Danger
51,2944,"Dirty Dozen, The"
52,3481,High Fidelity
53,2599,Election
54,1214,Alien
55,2762,"Sixth Sense, The"
56,2396,Shakespeare in Love
57,1036,Die Hard
58,3578,Gladiator
59,2160,Rosemary's Baby
60,3753,"Patriot, The"
61,1213,GoodFellas
62,2395,Rushmore
63,3952,"Contender, The"
64,2617,"Mummy, The"
65,589,Terminator 2: Judgment Day
66,2918,Ferris Bueller's Day Off
67,924,2001: A Space Odyssey
68,1210,Star Wars: Episode VI - Return of the Jedi
69,1200,Aliens
70,3578,Gladiator
71,608,Fargo
72,356,Forrest Gump
73,3910,Dancer in the Dark
74,1088,Dirty Dancing
75,296,Pulp Fiction
76,1221,"Godfather: Part II, The"
77,1394,Raising Arizona
78,3863,"Cell, The"
79,1210,Star Wars: Episode VI - Return of the Jedi
80,2070,Tender Mercies
81,2762,"Sixth Sense, The"
82,1247,"Graduate, The"
83,110,Braveheart
84,2997,Being John Malkovich
85,1223,"Grand Day Out, A"
86,3095,"Grapes of Wrath, The"
87,2762,"Sixth Sense, The"
88,318,"Shawshank Redemption, The"
89,3481,High Fidelity
90,50,"Usual Suspects, The"
91,780,Independence Day (ID4)
92,110,Braveheart
93,1307,When Harry Met Sally...
94,1230,Annie Hall
95,3751,Chicken Run
96,553,Tombstone
97,1198,Raiders of the Lost Ark
98,1136,Monty Python and the Holy Grail
99,589,Terminator 2: Judgment Day
100,2028,Saving Private Ryan
101,1784,As Good As It Gets
102,3911,Best in Show
103,2644,Dracula
104,480,Jurassic Park
105,3624,Shanghai Noon
106,2968,Time Bandits
107,1221,"Godfather: Part II, The"
108,2762,"Sixth Sense, The"
109,3578,Gladiator
110,3301,"Whole Nine Yards, The"
111,2791,Airplane!
112,1240,"Terminator, The"
113,593,"Silence of the Lambs, The"
114,1947,West Side Story
115,3175,Galaxy Quest
116,112,Rumble in the Bronx
117,1625,"Game, The"
118,2959,Fight Club
119,2791,Airplane!
120,2959,Fight Club
121,344,Ace Ventura: Pet Detective
122,3893,Nurse Betty
123,2396,Shakespeare in Love
124,1036,Die Hard
125,1294,M*A*S*H
126,1580,Men in Black
127,589,Terminator 2: Judgment Day
128,2959,Fight Club
129,1235,Harold and Maude
130,3948,Meet the Parents
131,2858,American Beauty
132,2193,Willow
133,541,Blade Runner
134,1923,There's Something About Mary
135,2028,Saving Private Ryan
136,39,Clueless
137,2916,Total Recall
138,2396,Shakespeare in Love
139,3552,Caddyshack
140,2683,Austin Powers: The Spy Who Shagged Me
141,3075,Repulsion
142,329,Star Trek: Generations
143,296,Pulp Fiction
144,3176,"Talented Mr. Ripley, The"
145,2716,Ghostbusters
146,3384,"Taking of Pelham One Two Three, The"
147,1270,Back to the Future
148,3435,Double Indemnity
149,1089,Reservoir Dogs
150,1580,Men in Black
151,3578,Gladiator
152,1466,Donnie Brasco
153,541,Blade Runner
154,2997,Being John Malkovich
155,858,"Godfather, The"
156,3893,Nurse Betty
157,457,"Fugitive, The"
158,3952,"Contender, The"
159,1028,Mary Poppins
160,1992,Child's Play 2
161,838,Emma
162,2599,Election
163,3481,High Fidelity
164,3897,Almost Famous
165,1997,"Exorcist, The"
166,480,Jurassic Park
167,2021,Dune
168,3578,Gladiator
169,316,Stargate
170,1230,Annie Hall
171,1213,GoodFellas
172,3160,Magnolia
173,2987,Who Framed Roger Rabbit?
174,3481,High Fidelity
175,2858,American Beauty
176,778,Trainspotting
177,1923,There's Something About Mary
178,1219,Psycho
179,1263,"Deer Hunter, The"
180,1200,Aliens
181,2791,Airplane!
182,3861,"Replacements, The"
183,3878,X: The Unknown
184,1200,Aliens
185,3556,"Virgin Suicides, The"
186,1573,Face/Off
187,527,Schindler's List
188,3175,Galaxy Quest
189,318,"Shawshank Redemption, The"
190,3578,Gladiator
191,2355,"Bug's Life, A"
192,3176,"Talented Mr. Ripley, The"
193,2858,American Beauty
194,1199,Brazil
195,1200,Aliens
